Report Date,County,Place of Fatality,Deaths by County of Residence
01/05/2021,Suffolk,"2,433","2,388"
01/05/2021,Sullivan,40,46
01/05/2021,Tioga,39,54
01/05/2021,Tompkins,19,16
01/05/2021,Ulster,91,151
01/05/2021,Warren,38,32
01/05/2021,Washington,11,17
01/05/2021,Wayne,23,43
01/05/2021,Westchester,"1,843","1,697"
01/05/2021,Wyoming,21,27
01/05/2021,Yates,8,13
01/05/2022,Albany,774,444
01/05/2022,Allegany,83,139
01/05/2022,Bronx,"4,372","4,835"
01/05/2022,Broome,556,472
01/05/2022,Cattaraugus,197,191
01/05/2022,Cayuga,93,121
01/05/2022,Chautauqua,228,230
01/05/2022,Chemung,258,195
01/05/2022,Chenango,65,101
01/05/2022,Clinton,82,59
01/05/2022,Columbia,129,123
01/05/2022,Cortland,82,92
01/05/2022,Delaware,23,59
01/05/2022,Dutchess,591,543
01/05/2022,Erie,"2,532","2,271"
01/05/2022,Essex,35,48
01/05/2022,Franklin,21,33
01/05/2022,Fulton,85,134
01/05/2022,Genesee,146,164
01/05/2022,Greene,31,100
01/05/2022,Hamilton,0,4
01/05/2022,Herkimer,59,160
01/05/2022,Jefferson,107,118
01/05/2022,Kings,"7,120","7,892"
01/05/2022,Lewis,13,41
01/05/2022,Livingston,68,95
01/05/2022,Madison,107,118
01/05/2022,Manhattan,"5,307","3,244"
01/05/2022,Monroe,"1,575","1,360"
01/05/2022,Montgomery,149,177
01/05/2022,Nassau,"4,188","3,435"
01/05/2022,Niagara,310,479
01/05/2022,Non-NYS,0,395
01/05/2022,Oneida,734,709
01/05/2022,Onondaga,"1,079",893
01/05/2022,Ontario,199,146
01/05/2022,Orange,900,842
01/05/2022,Orleans,52,104
01/05/2022,Oswego,95,151
01/05/2022,Otsego,113,71
01/05/2022,Putnam,94,106
01/05/2022,Queens,"6,061","7,465"
01/05/2022,Rensselaer,181,218
01/05/2022,Richmond,"1,228","1,250"
01/05/2022,Rockland,777,813
01/05/2022,Saratoga,198,275
01/05/2022,Schenectady,260,271
01/05/2022,Schoharie,7,29
01/05/2022,Schuyler,5,23
01/05/2022,Seneca,33,82
01/05/2022,St. Lawrence,149,160
01/05/2022,Statewide Total,"49,029","49,029"
01/05/2022,Steuben,177,221
01/05/2022,Suffolk,"3,895","3,877"
01/05/2022,Sullivan,82,103
01/05/2022,Tioga,40,79
01/05/2022,Tompkins,78,73
01/05/2022,Ulster,178,315
01/05/2022,Warren,172,109
01/05/2022,Washington,36,93
01/05/2022,Wayne,76,133
01/05/2022,Westchester,"2,659","2,436"
01/05/2022,Wyoming,61,74
01/05/2022,Yates,24,36
01/06/2021,Albany,330,224
01/06/2021,Allegany,54,75
01/06/2021,Bronx,"3,278","3,590"
01/06/2021,Broome,240,220
01/06/2021,Cattaraugus,47,51
01/06/2021,Cayuga,28,36
01/06/2021,Chautauqua,33,31
01/06/2021,Chemung,123,99
01/06/2021,Chenango,18,26
01/06/2021,Clinton,11,9
01/06/2021,Columbia,59,62
